product_id,product_code_raw,product_description_raw,uom_raw,source_system,harmonized_product_id,harmonized_product_name,harmonized_uom
PRD-005,EL-60AH,Car Battery 12V 60Ah,Pcs,E-Procurement_Portal,PRD-H-005,Battery 12V 60Ah,PCS
PRD-006,HB-BRG-6205,Ball Bearing 6205-2RS,BOX (10 Pcs),SAP_S4HANA_ERP,PRD-H-006,Ball Bearing 6205-2RS,PCS
PRD-006,BRG-6205,Bearing 6205-2RS,Pcs,Indoprima_WMS,PRD-H-006,Ball Bearing 6205-2RS,PCS
PRD-006,HB-6205,Bearing 6205 Double Seal,BOX (10 Pcs),E-Procurement_Portal,PRD-H-006,Ball Bearing 6205-2RS,PCS
PRD-007,CL-CBL-HV-04,High Voltage Cable 4mm,METER,SAP_S4HANA_ERP,PRD-H-007,High Voltage Cable 4mm,METER
PRD-007,CBL-HV04,Kabel HV 4mm,Roll (50m),Indoprima_WMS,PRD-H-007,High Voltage Cable 4mm,METER
PRD-007,CL-04HV,HV Cable 4mm Automotive,METER,E-Procurement_Portal,PRD-H-007,High Voltage Cable 4mm,METER
PRD-008,FB-FLT-A200,Air Filter A-200,Pcs,SAP_S4HANA_ERP,PRD-H-008,Air Filter A-200,PCS
PRD-008,FLT-AIR200,Filter Udara A200,Pcs,Indoprima_WMS,PRD-H-008,Air Filter A-200,PCS
PRD-008,FB-A200,Air Filter A200 Series,Pcs,E-Procurement_Portal,PRD-H-008,Air Filter A-200,PCS
PRD-009,SP-SHS-FR-22,Front Shock Absorber,SET (2 Pcs),SAP_S4HANA_ERP,PRD-H-009,Shock Absorber Front FR-22,SET
PRD-009,SHS-FR22,Shock Depan FR-22,SET,Indoprima_WMS,PRD-H-009,Shock Absorber Front FR-22,SET
PRD-009,SP-FR22,Shock Absorber Front FR-22,SET (2 Pcs),E-Procurement_Portal,PRD-H-009,Shock Absorber Front FR-22,SET
PRD-010,RD-RAD-CU-16,Radiator Copper 16mm,Pcs,SAP_S4HANA_ERP,PRD-H-010,Radiator Copper 16mm,PCS
PRD-010,RAD-CU16,Radiator Tembaga 16mm,Pcs,Indoprima_WMS,PRD-H-010,Radiator Copper 16mm,PCS
PRD-010,RD-16CU,Copper Radiator 16mm,Pcs,E-Procurement_Portal,PRD-H-010,Radiator Copper 16mm,PCS
PRD-011,ST-SPR-06-MS,Spark Plug MS-06,BOX (4 Pcs),SAP_S4HANA_ERP,PRD-H-011,Spark Plug MS-06,PCS
PRD-011,SPK-MS06,Busi MS-06,Pcs,Indoprima_WMS,PRD-H-011,Spark Plug MS-06,PCS
PRD-011,ST-MS06,Spark Plug MS-06 Standard,BOX (4 Pcs),E-Procurement_Portal,PRD-H-011,Spark Plug MS-06,PCS
PRD-012,WS-WSH-CM-08,Cylinder Gasket CM-08,Pcs,SAP_S4HANA_ERP,PRD-H-012,Cylinder Gasket CM-08,PCS
PRD-012,WSH-CM08,Paking Silinder CM-08,Pcs,Indoprima_WMS,PRD-H-012,Cylinder Gasket CM-08,PCS
PRD-012,WS-CM08,Cylinder Gasket CM-08,Pcs,E-Procurement_Portal,PRD-H-012,Cylinder Gasket CM-08,PCS
PRD-013,EN-OIL-5W30,Engine Oil 5W-30,LITER,SAP_S4HANA_ERP,PRD-H-013,Engine Oil 5W-30,LITER
PRD-013,OIL-5W30,Oli Mesin 5W-30,PAIL (20L),Indoprima_WMS,PRD-H-013,Engine Oil 5W-30,LITER
PRD-013,EN-5W30,Synthetic Oil 5W-30,LITER,E-Procurement_Portal,PRD-H-013,Engine Oil 5W-30,LITER
PRD-014,TB-BLT-12-SS,SS Bolt M12x80,BOX (200 Pcs),SAP_S4HANA_ERP,PRD-H-014,SS Bolt M12x80,PCS
PRD-014,BLT-M12SS,Baut SS M12x80,Pcs,Indoprima_WMS,PRD-H-014,SS Bolt M12x80,PCS
PRD-014,TB-M12,Stainless Bolt M12x80,BOX (200 Pcs),E-Procurement_Portal,PRD-H-014,SS Bolt M12x80,PCS
PRD-015,CH-BSH-FR-04,Front Bushing FR-04,SET (4 Pcs),SAP_S4HANA_ERP,PRD-H-015,Front Bushing FR-04,SET
PRD-015,BSH-FR04,Bush Depan FR-04,SET,Indoprima_WMS,PRD-H-015,Front Bushing FR-04,SET
PRD-015,CH-FR04,Front Bushing FR-04 Auto,SET (4 Pcs),E-Procurement_Portal,PRD-H-015,Front Bushing FR-04,SET
