work_order_id,machine_id,downtime_id,maintenance_type,failure_code,work_start_time,work_end_time,duration_hours,technician_notes
WO-3026,MCH-HEATTREAT-01,DT-1113,Corrective,FAIL-102,2026-07-23 03:38:01,2026-07-23 04:21:07,0.72,Replaced faulty components and calibrated MCH-HEATTREAT-01. System tested OK.
WO-3027,MCH-HEATTREAT-01,DT-1117,Corrective,FAIL-102,2026-07-24 11:37:07,2026-07-24 12:47:01,1.17,Replaced faulty components and calibrated MCH-HEATTREAT-01. System tested OK.
WO-3028,MCH-STABILIZER-01,DT-1120,Corrective,FAIL-106,2026-07-24 13:50:54,2026-07-24 15:08:24,1.29,Replaced faulty components and calibrated MCH-STABILIZER-01. System tested OK.
WO-3029,MCH-COILING-02,DT-1127,Corrective,FAIL-102,2026-07-26 05:34:56,2026-07-26 07:49:02,2.23,Replaced faulty components and calibrated MCH-COILING-02. System tested OK.
WO-3030,MCH-STABILIZER-01,DT-1129,Corrective,FAIL-105,2026-07-26 19:23:01,2026-07-26 20:12:43,0.83,Replaced faulty components and calibrated MCH-STABILIZER-01. System tested OK.
WO-3031,MCH-HEATTREAT-01,DT-1132,Corrective,FAIL-104,2026-07-27 19:50:34,2026-07-27 21:27:52,1.62,Replaced faulty components and calibrated MCH-HEATTREAT-01. System tested OK.
WO-3032,MCH-COILING-01,DT-1139,Corrective,FAIL-105,2026-07-29 05:26:54,2026-07-29 06:17:30,0.84,Replaced faulty components and calibrated MCH-COILING-01. System tested OK.
WO-3033,MCH-TEMPERING-01,DT-1141,Corrective,FAIL-107,2026-07-29 04:27:28,2026-07-29 05:24:16,0.95,Replaced faulty components and calibrated MCH-TEMPERING-01. System tested OK.
WO-3034,MCH-TESTING-01,DT-1145,Corrective,FAIL-108,2026-07-29 05:45:37,2026-07-29 07:02:49,1.29,Replaced faulty components and calibrated MCH-TESTING-01. System tested OK.
WO-3035,MCH-SHOTPEEN-01,DT-1148,Corrective,FAIL-103,2026-07-30 13:28:54,2026-07-30 15:38:30,2.16,Replaced faulty components and calibrated MCH-SHOTPEEN-01. System tested OK.
WO-3036,MCH-STABILIZER-01,DT-1149,Corrective,FAIL-106,2026-07-30 19:31:16,2026-07-30 20:19:22,0.8,Replaced faulty components and calibrated MCH-STABILIZER-01. System tested OK.
